"X","dn0_lo10","dn0_med","dn0_up90","rn0_lo10","rn0_med","rn0_up90","gamman_lo10","gamman_med","gamman_up90","bioassay_mortality","resistance","NetType","X.1","X.Key.note"
13,0.277833796,0.33106551,0.394079633,0.592377011,0.644868133,0.684825428,2.528174863,2.571403564,2.610018281,0.88,0.12,"PyNets",NA,NA
14,0.276795671,0.330269597,0.393251436,0.593095356,0.645499053,0.685554395,2.518411744,2.565506822,2.607396933,0.87,0.13,"PyNets",NA,NA
15,0.27588681,0.329363341,0.391933995,0.59423666,0.646216323,0.68619083,2.508553095,2.559571068,2.604755043,0.86,0.14,"PyNets",NA,NA
16,0.275059319,0.328600753,0.391088491,0.594968268,0.646818971,0.686768856,2.498676982,2.553594521,2.602092219,0.85,0.15,"PyNets",NA,NA
17,0.274195745,0.327732444,0.390391396,0.595570935,0.647504127,0.687370618,2.48906504,2.547630767,2.599408059,0.84,0.16,"PyNets",NA,NA
18,0.273299152,0.326725996,0.389728108,0.59614392,0.648296903,0.687993781,2.478931233,2.541623244,2.596702146,0.83,0.17,"PyNets",NA,NA
19,0.272447803,0.325825504,0.388661203,0.59706466,0.649004955,0.688584025,2.468712466,2.535576336,2.593974052,0.82,0.18,"PyNets",NA,NA
20,0.27166007,0.324855762,0.387848085,0.597765624,0.649766115,0.689128843,2.458497647,2.529496214,2.591223333,0.81,0.19,"PyNets",NA,NA
21,0.270682039,0.323661233,0.386646694,0.598800098,0.650701785,0.689803499,2.448732687,2.523388573,2.588449533,0.8,0.2,"PyNets",NA,NA
22,0.269821659,0.322437593,0.385394159,0.599877066,0.651658038,0.690395378,2.438964721,2.517157291,2.585652178,0.79,0.21,"PyNets",NA,NA
23,0.269120362,0.321223404,0.384049198,0.601031733,0.652604668,0.690876684,2.429179424,2.510914597,2.582830782,0.78,0.22,"PyNets",NA,NA
24,0.268377035,0.319985762,0.382843099,0.602065612,0.653567272,0.691385704,2.419377155,2.50470861,2.579984838,0.77,0.23,"PyNets",NA,NA
25,0.267640991,0.318717911,0.38126003,0.603420349,0.654550935,0.691888596,2.409494159,2.498324853,2.577113827,0.76,0.24,"PyNets",NA,NA
26,0.266895488,0.317830934,0.380256991,0.604277375,0.655237594,0.692396786,2.398970136,2.491825246,2.574217207,0.75,0.25,"PyNets",NA,NA
27,0.265813634,0.316751987,0.379251629,0.605135317,0.656071266,0.693132291,2.38799496,2.485270308,2.571294419,0.74,0.26,"PyNets",NA,NA
28,0.264779017,0.315838232,0.378660981,0.605638869,0.656775858,0.693833328,2.376900907,2.478738824,2.568327065,0.73,0.27,"PyNets",NA,NA
29,0.264043956,0.315134898,0.377570059,0.606567934,0.657317308,0.69432998,2.366767779,2.472330287,2.565312618,0.72,0.28,"PyNets",NA,NA
30,0.263093151,0.314031821,0.376429904,0.607537573,0.658164895,0.694970719,2.356184851,2.465896335,2.562266724,0.71,0.29,"PyNets",NA,NA
31,0.262569396,0.312953291,0.375244681,0.608544069,0.658991779,0.695322824,2.345291897,2.459427497,2.559188622,0.7,0.3,"PyNets",NA,NA
32,0.261982033,0.311955754,0.374117171,0.609500139,0.659754876,0.695716988,2.334302462,2.452923271,2.556077521,0.69,0.31,"PyNets",NA,NA
33,0.260730498,0.310581949,0.372834333,0.610586229,0.660803229,0.696554439,2.323168876,2.446198069,2.552932602,0.68,0.32,"PyNets",NA,NA
34,0.259928825,0.309379962,0.371598464,0.611630841,0.661717933,0.697089046,2.311944447,2.439118838,2.549753009,0.67,0.33,"PyNets",NA,NA
35,0.259191496,0.308255531,0.370349718,0.612684616,0.662571481,0.697579524,2.301168566,2.432455142,2.546537855,0.66,0.34,"PyNets",NA,NA
36,0.258203668,0.307008035,0.368613039,0.614147226,0.663516007,0.698234751,2.289799822,2.425904664,2.543286215,0.65,0.35,"PyNets",NA,NA
37,0.256627985,0.305991559,0.366937735,0.615554898,0.664283706,0.69927544,2.278500574,2.419325056,2.539997124,0.64,0.36,"PyNets",NA,NA
38,0.255041178,0.304659923,0.365397218,0.61684652,0.665286813,0.700317886,2.267905326,2.412307653,2.53666958,0.63,0.37,"PyNets",NA,NA
39,0.254049678,0.303566875,0.364398584,0.617682381,0.666107985,0.70096617,2.257998911,2.405518785,2.533291445,0.62,0.38,"PyNets",NA,NA
40,0.252373122,0.302312934,0.362698329,0.619102694,0.667047519,0.702057816,2.248469732,2.398497047,2.529868941,0.61,0.39,"PyNets",NA,NA
41,0.250888306,0.301148223,0.361555311,0.62005569,0.667917791,0.703019159,2.237357488,2.391377626,2.526403558,0.6,0.4,"PyNets",NA,NA
42,0.249936815,0.299909224,0.3603573,0.621052885,0.668841016,0.703632502,2.226471429,2.384370463,2.523016307,0.59,0.41,"PyNets",NA,NA
43,0.248488031,0.29865749,0.358649118,0.622471713,0.669771026,0.704562394,2.215693163,2.377086391,2.519755718,0.58,0.42,"PyNets",NA,NA
44,0.247032272,0.297262808,0.357800467,0.623175308,0.670804018,0.705491843,2.203966816,2.369482074,2.516153011,0.57,0.43,"PyNets",NA,NA
45,0.245450215,0.295870351,0.356520466,0.624234869,0.671831955,0.706496271,2.192487601,2.361823512,2.512482892,0.56,0.44,"PyNets",NA,NA
46,0.24405896,0.294411241,0.354890236,0.625581438,0.672905398,0.707374648,2.180157193,2.354380339,2.508760594,0.55,0.45,"PyNets",NA,NA
47,0.242697804,0.293369627,0.353180227,0.626990376,0.67366937,0.708229542,2.168595701,2.346871009,2.504966229,0.54,0.46,"PyNets",NA,NA
48,0.241624081,0.291780212,0.351424427,0.628433241,0.674831355,0.708900757,2.157545753,2.339293957,2.501105468,0.53,0.47,"PyNets",NA,NA
49,0.240376891,0.289937624,0.350131503,0.629493259,0.676172677,0.709676901,2.146572942,2.331778782,2.497192273,0.52,0.48,"PyNets",NA,NA
50,0.238647312,0.288608921,0.348384991,0.630921762,0.677136046,0.710746951,2.135577751,2.324561098,2.493306157,0.51,0.49,"PyNets",NA,NA
51,0.237300888,0.286988556,0.346995581,0.632055384,0.678306455,0.711574888,2.124560929,2.317302525,2.489513471,0.5,0.5,"PyNets",NA,NA
52,0.236114708,0.28532712,0.345426946,0.633332224,0.679501428,0.712300532,2.112974174,2.309823744,2.485749695,0.49,0.51,"PyNets",NA,NA
53,0.234255727,0.283975815,0.344178827,0.634345867,0.680469506,0.713430693,2.102160431,2.302133737,2.481941555,0.48,0.52,"PyNets",NA,NA
54,0.231944933,0.282628554,0.342243516,0.635913528,0.681431207,0.714823349,2.091246343,2.294337932,2.478087624,0.47,0.53,"PyNets",NA,NA
55,0.229766299,0.280990736,0.339992688,0.637730466,0.682595658,0.716123837,2.079018023,2.286613808,2.474186398,0.46,0.54,"PyNets",NA,NA
56,0.227754132,0.279244742,0.338395418,0.639015658,0.683831278,0.717314075,2.06683241,2.278916867,2.470236289,0.45,0.55,"PyNets",NA,NA
57,0.226586872,0.277712268,0.337865315,0.639441434,0.684910834,0.717999678,2.055922126,2.271092663,2.46623562,0.44,0.56,"PyNets",NA,NA
58,0.225104777,0.276360919,0.335686244,0.64118753,0.685859039,0.718865025,2.042914964,2.262831473,2.462182614,0.43,0.57,"PyNets",NA,NA
59,0.222849728,0.274636928,0.333387129,0.643022642,0.687063375,0.720170471,2.030080747,2.255222107,2.45807539,0.42,0.58,"PyNets",NA,NA
60,0.221035755,0.2732069,0.331264598,0.64471019,0.688057806,0.721210508,2.019061882,2.247090749,2.453911952,0.41,0.59,"PyNets",NA,NA
61,0.218491959,0.271334226,0.328964123,0.646531918,0.689353832,0.722654208,2.006257309,2.238779801,2.449690179,0.4,0.6,"PyNets",NA,NA
62,0.215950463,0.269445578,0.326444759,0.648518163,0.690653612,0.724078855,1.993192299,2.229934786,2.445407813,0.39,0.61,"PyNets",NA,NA
63,0.213496694,0.26729802,0.325258996,0.649449782,0.692122597,0.725437122,1.979716553,2.220887127,2.441062436,0.38,0.62,"PyNets",NA,NA
64,0.211376289,0.265107655,0.323634486,0.650722691,0.693610902,0.726597163,1.966119254,2.212647127,2.436618798,0.37,0.63,"PyNets",NA,NA
65,0.209360638,0.262957315,0.321711197,0.652224633,0.695062102,0.727687962,1.952473808,2.203818044,2.432058821,0.36,0.64,"PyNets",NA,NA
66,0.206904832,0.261354002,0.319531369,0.653920015,0.69613767,0.729001064,1.938568374,2.195136394,2.42699937,0.35,0.65,"PyNets",NA,NA
67,0.204729032,0.259772377,0.317599068,0.655416819,0.697193173,0.730149715,1.922531582,2.186697163,2.422321973,0.34,0.66,"PyNets",NA,NA
68,0.202668099,0.256939757,0.315600751,0.656958652,0.699069923,0.731224774,1.908994015,2.178528057,2.417782608,0.33,0.67,"PyNets",NA,NA
69,0.199854751,0.254396877,0.313416714,0.658636718,0.700739541,0.732671739,1.895899251,2.170170418,2.412706646,0.32,0.68,"PyNets",NA,NA
70,0.196873591,0.252222426,0.310445365,0.660907267,0.702155653,0.734178729,1.88188946,2.161435287,2.407359461,0.31,0.69,"PyNets",NA,NA
71,0.19381478,0.249873012,0.308172356,0.662634466,0.703673574,0.735696387,1.868008528,2.152048112,2.40188427,0.3,0.7,"PyNets",NA,NA
72,0.190820546,0.247570857,0.306819457,0.663658534,0.705148566,0.737153592,1.853453315,2.142015519,2.396015274,0.29,0.71,"PyNets",NA,NA
73,0.188293018,0.245170127,0.304609311,0.665324891,0.706673475,0.738361261,1.838762544,2.131818575,2.389979905,0.28,0.72,"PyNets",NA,NA
74,0.184893482,0.242181024,0.30177855,0.6674471,0.708552936,0.739953188,1.825288364,2.121579136,2.383889419,0.27,0.73,"PyNets",NA,NA
75,0.181688756,0.239860736,0.298593681,0.669818343,0.709997019,0.741419035,1.812749075,2.111148173,2.378244657,0.26,0.74,"PyNets",NA,NA
76,0.177852838,0.237230985,0.295409103,0.672171698,0.711617737,0.743128246,1.800170677,2.101132229,2.372202052,0.25,0.75,"PyNets",NA,NA
77,0.174937921,0.234169945,0.292845097,0.674053328,0.713482633,0.744393514,1.788229317,2.091554068,2.365690438,0.24,0.76,"PyNets",NA,NA
78,0.171706408,0.231094174,0.290500301,0.675763732,0.715332647,0.745761764,1.777413639,2.081889668,2.358970063,0.23,0.77,"PyNets",NA,NA
79,0.16826267,0.227770607,0.287573645,0.677884402,0.717304372,0.747179283,1.763948896,2.072033002,2.352033221,0.22,0.78,"PyNets",NA,NA
80,0.163992673,0.22481886,0.284316256,0.68022594,0.719031296,0.748877657,1.752833208,2.062228526,2.344862881,0.21,0.79,"PyNets",NA,NA
81,0.15974029,0.22172514,0.280555718,0.682904067,0.720816403,0.750502498,1.739023824,2.051843084,2.33873819,0.2,0.8,"PyNets",NA,NA
82,0.155693146,0.218166305,0.27738269,0.685142459,0.722837843,0.751985922,1.726660499,2.039200767,2.332401851,0.19,0.81,"PyNets",NA,NA
83,0.151746216,0.214420309,0.273499806,0.687854466,0.724927852,0.753372132,1.711889531,2.028227881,2.324512327,0.18,0.82,"PyNets",NA,NA
84,0.147487687,0.2101939,0.270627965,0.689840745,0.72723844,0.754799403,1.69932871,2.017799459,2.316300987,0.17,0.83,"PyNets",NA,NA
85,0.142613028,0.205681631,0.266744477,0.692499658,0.729648541,0.756344069,1.684772526,2.006839099,2.307843291,0.16,0.84,"PyNets",NA,NA
86,0.137346359,0.200979719,0.263362144,0.69478965,0.732096013,0.757903259,1.671954928,1.99423142,2.300669802,0.15,0.85,"PyNets",NA,NA
87,0.132170396,0.196345068,0.259961692,0.697067159,0.734443049,0.759322028,1.659103386,1.978980698,2.291116938,0.14,0.86,"PyNets",NA,NA
88,0.126132416,0.191397819,0.256531177,0.699339199,0.736874872,0.76083029,1.641616652,1.96516878,2.281355244,0.13,0.87,"PyNets",NA,NA
89,0.120950419,0.185511612,0.25296758,0.701671584,0.739666516,0.761995194,1.622911751,1.951556813,2.270823788,0.12,0.88,"PyNets",NA,NA
90,0.114157677,0.179526272,0.249204273,0.70410326,0.742388632,0.763335339,1.610960985,1.939925215,2.260464939,0.11,0.89,"PyNets",NA,NA
91,0.10851703,0.173122775,0.244972257,0.706798552,0.745166567,0.764250868,1.589161305,1.925741611,2.251465244,0.1,0.9,"PyNets",NA,NA
92,0.101198095,0.166746575,0.239068714,0.710486896,0.74778988,0.765030576,1.570623754,1.913762092,2.241353413,0.09,0.91,"PyNets",NA,NA
93,0.094403191,0.158990338,0.233554762,0.713854576,0.750782042,0.76546426,1.555965352,1.900907268,2.231016681,0.08,0.92,"PyNets",NA,NA
94,0.086194451,0.150856876,0.227520189,0.717451771,0.753676114,0.765868992,1.534496726,1.886054436,2.215720267,0.07,0.93,"PyNets",NA,NA
95,0.078757903,0.141427122,0.219591053,0.722031901,0.756705213,0.766223611,1.517727148,1.8686383,2.201785063,0.06,0.94,"PyNets",NA,NA
96,0.069761409,0.130862909,0.211371608,0.726599709,0.759423306,0.766362895,1.499739931,1.853236322,2.18447593,0.05,0.95,"PyNets",NA,NA
97,0.059061009,0.119982799,0.202241249,0.731445848,0.761568042,0.76641562,1.479401961,1.838041217,2.164733459,0.04,0.96,"PyNets",NA,NA
98,0.048767346,0.104807617,0.19103044,0.737052359,0.762881338,0.766451667,1.46109562,1.818644458,2.146455647,0.03,0.97,"PyNets",NA,NA
99,0.036526215,0.086278776,0.175124572,0.74431335,0.763658715,0.766484305,1.443181804,1.797202572,2.126790063,0.02,0.98,"PyNets",NA,NA
100,0.021247152,0.062494408,0.151035475,0.750014002,0.762697444,0.766401758,1.421883328,1.770329352,2.092057109,0.01,0.99,"PyNets",NA,NA
101,0,0,0,0.745631384,0.745631384,0.745631384,1.381246351,1.701051354,1.950789185,0,1,"PyNets",NA,NA
1,0.437757397,0.495768797,0.538614874,0.459567302,0.500149482,0.553644898,2.64,2.64,2.64,1,0,"PyPBONets",NA,NA
2,0.437216453,0.495277702,0.538181239,0.459981575,0.500610072,0.554133809,2.628326592,2.632632349,2.6360053,0.99,0.01,"PyPBONets",NA,NA
3,0.436664197,0.494896482,0.537773013,0.460371513,0.500967529,0.554632728,2.616519166,2.62516761,2.631953906,0.98,0.02,"PyPBONets",NA,NA
4,0.436078352,0.494160812,0.53739416,0.460733343,0.501657142,0.555161749,2.604620927,2.617614139,2.627863199,0.97,0.03,"PyPBONets",NA,NA
5,0.435547492,0.493515051,0.53700188,0.461107943,0.502262273,0.555640912,2.592622919,2.609973954,2.623747437,0.96,0.04,"PyPBONets",NA,NA
6,0.434811707,0.492746768,0.536601849,0.46148989,0.502981949,0.5563047,2.580547554,2.602235473,2.619595545,0.95,0.05,"PyPBONets",NA,NA
7,0.434023956,0.492127595,0.53618622,0.461886669,0.503561732,0.557014934,2.568248935,2.594442387,2.615406868,0.94,0.06,"PyPBONets",NA,NA
8,0.433588975,0.491395631,0.535748291,0.462304671,0.504246905,0.557406911,2.555791188,2.586588707,2.611180733,0.93,0.07,"PyPBONets",NA,NA
9,0.432431756,0.49048774,0.535301317,0.462731237,0.505096391,0.558449067,2.543166059,2.578608527,2.606916446,0.92,0.08,"PyPBONets",NA,NA
10,0.431543776,0.48956249,0.534845018,0.463166629,0.5059617,0.55924808,2.530505167,2.57052335,2.602613294,0.91,0.09,"PyPBONets",NA,NA
11,0.430966558,0.488907488,0.534379104,0.463611119,0.506574013,0.559767149,2.517532461,2.562272135,2.598270543,0.9,0.1,"PyPBONets",NA,NA
12,0.42995143,0.488192627,0.533903271,0.464064992,0.507242039,0.560679416,2.504430697,2.553946291,2.593887436,0.89,0.11,"PyPBONets",NA,NA
13,0.429048727,0.487489934,0.533417204,0.464528543,0.507898445,0.561489996,2.491109498,2.545550253,2.589463196,0.88,0.12,"PyPBONets",NA,NA
14,0.428089332,0.486774976,0.532920573,0.46500208,0.508566054,0.562350808,2.477819667,2.53698964,2.584987722,0.87,0.13,"PyPBONets",NA,NA
15,0.427248764,0.485858143,0.532413035,0.465485926,0.509421791,0.563104426,2.464633086,2.528308412,2.580228626,0.86,0.14,"PyPBONets",NA,NA
16,0.426286664,0.484966478,0.531911308,0.465964139,0.510253627,0.563966341,2.451350075,2.51942205,2.575397958,0.85,0.15,"PyPBONets",NA,NA
17,0.425365417,0.484041784,0.531363791,0.466485893,0.511115846,0.564790987,2.438055459,2.510376223,2.570636554,0.84,0.16,"PyPBONets",NA,NA
